model_id,experiment,access,utterance,alpha_hat,res_0,res_1,res_2,res_3,l2_residual
Qwen--Qwen3.5-9B,exps_some,3,some,0.1,0.0,-0.027144701230853392,-0.05049094318016048,0.07763564441101378,0.096506287
gemini-3.1-flash-lite-preview,exps_numerical,1,1,1.5,-0.007900677200902937,0.22577125658389766,0.25165537998495113,-0.4695259593679458,0.578636447
gemini-3.1-flash-lite-preview,exps_numerical,2,1,0.1,-0.038229879024921545,-0.00451392059437955,-0.0038607920941970963,0.04660459171349829,0.0605705606
gemini-3.1-flash-lite-preview,exps_numerical,2,2,0.1,-0.010527005916020068,-0.004454150349576695,0.42459910134582324,-0.4096179450802264,0.5900863624
gemini-3.1-flash-lite-preview,exps_numerical,3,1,0.2,-0.11500403948328615,0.13539876751450752,0.012638652548372402,-0.03303338057959368,0.1811344669
gemini-3.1-flash-lite-preview,exps_numerical,3,2,0.2,-0.03522641612501417,-0.0010136694916584791,0.040577620929070246,-0.0043375353123976616,0.0539192494
gemini-3.1-flash-lite-preview,exps_numerical,3,3,1.4,-0.010861132660977501,-1.2541435657954556e-18,-4.684595084000672e-18,0.010861132660977546,0.0153599611
gemini-3.1-flash-lite-preview,exps_some,1,some,0.1,-0.0030034425124959487,0.15761684776469148,0.23419779798729617,-0.38881120323949186,0.4804943826
gemini-3.1-flash-lite-preview,exps_some,2,some,8.0,-3.7498491647485126e-98,0.050953250518887924,0.12655361674948334,-0.17750686726837117,0.2238766169
gemini-3.1-flash-lite-preview,exps_some,3,some,1.3,-9.415370827612881e-18,0.10896921017402945,0.009973226238286559,-0.11894243641231611,0.1616201014
google--gemma-3-4b-it,exps_numerical,1,1,0.1,0.05974737493889134,0.07065945698138079,-0.0980821605624933,-0.03232467135777875,0.1386632694
google--gemma-3-4b-it,exps_numerical,2,1,0.1,0.029146400148937934,-0.10705586864594524,-0.09628795681801278,0.17419742531501994,0.2278740557
google--gemma-3-4b-it,exps_numerical,2,2,0.1,0.02692462761387536,0.2390817127190417,-0.010906430330854311,-0.2550999100020628,0.3508274722
google--gemma-3-4b-it,exps_numerical,3,1,0.1,-0.02625954613591451,-0.42872781631699947,0.30096697923613647,0.15402038321677758,0.5466264769
google--gemma-3-4b-it,exps_numerical,3,2,0.1,0.02937660379314881,0.25761459132213405,-0.4279391197707503,0.14094792465546735,0.5198331177
google--gemma-3-4b-it,exps_numerical,3,3,0.1,-0.026259546135914483,0.15402038321677758,0.3843003125694697,-0.5120611496503328,0.6590183559
google--gemma-3-4b-it,exps_some,1,some,0.1,0.08353465183619127,0.10937298290510356,-0.08426503222022241,-0.10864260252107241,0.1945361102
google--gemma-3-4b-it,exps_some,2,some,0.1,0.08774682328213541,0.06291896601914365,-0.12098025130184892,-0.02968553799943016,0.1648507011
google--gemma-3-4b-it,exps_some,3,some,0.1,0.09219030744010062,-0.018179785756972267,-0.14428466675860685,0.07027414507547863,0.1859733258
gpt-5.4-mini,exps_numerical,1,1,1.5,0.036616161616161616,0.281060606060606,0.18131313131313131,-0.4989898989898991,0.60183152
gpt-5.4-mini,exps_numerical,2,1,0.1,0.014037219012321668,-0.024304770843208173,0.035244334727730364,-0.02497678289684374,0.0515147379
gpt-5.4-mini,exps_numerical,2,2,0.1,0.003262361647371919,0.04363788775065195,0.4856166032410366,-0.5325168526390605,0.7220198002
gpt-5.4-mini,exps_numerical,3,1,0.1,-0.010412956322615255,0.011107614981685499,0.13898768949120036,-0.13968234815027072,0.1976374079
gpt-5.4-mini,exps_numerical,3,2,0.1,-0.01056783551826642,0.03301066173823293,-0.11536276050751659,0.09291993428755016,0.1521317312
gpt-5.4-mini,exps_numerical,3,3,0.1,-0.006567505121842903,-0.002748727027196156,0.02413217891268048,-0.014815946763641397,0.0291986637
gpt-5.4-mini,exps_some,1,some,0.1,0.028285026821088403,0.07808694733050933,0.23830464518215708,-0.3446766193337547,0.4271869496
gpt-5.4-mini,exps_some,2,some,0.1,0.023653828141348268,0.09014620619866628,0.30158107705097004,-0.4153811113909846,0.5217072511
gpt-5.4-mini,exps_some,3,some,0.1,0.02858330394881784,0.015197940847116245,0.06152612629824017,-0.10530737109417404,0.1261867239
gpt-5.4-nano,exps_numerical,1,1,1.5,-0.008474576271186444,0.04149717514124297,0.194632768361582,-0.22765536723163848,0.3024941565
gpt-5.4-nano,exps_numerical,2,1,0.1,-0.026766287660138683,-0.16453683540952532,0.19261175833915234,-0.0013086352694884062,0.2547347765
gpt-5.4-nano,exps_numerical,2,2,0.1,-0.013304451102211698,0.030849516298872677,0.549608294020203,-0.567153359216864,0.7904814424
gpt-5.4-nano,exps_numerical,3,1,0.1,-0.05207809270473492,-0.24073061701280418,0.3845382639273869,-0.09172955420984778,0.4657760677
gpt-5.4-nano,exps_numerical,3,2,0.1,-0.02307992833354287,0.040230345544799886,-0.12289951716516134,0.10574909995390432,0.1686366723
gpt-5.4-nano,exps_numerical,3,3,0.2,-0.015694736852091253,-0.0008678363815800009,0.014187134147866664,0.0023754390858046204,0.0213071676
gpt-5.4-nano,exps_some,1,some,0.1,-0.003457486050145731,0.18124590056439804,0.18043322681886348,-0.3582216413331156,0.4401601122
gpt-5.4-nano,exps_some,2,some,8.0,-3.511259396768913e-98,0.020112144253959935,0.1485700924067732,-0.16868223666073304,0.2256795686
gpt-5.4-nano,exps_some,3,some,0.1,-0.0021152330490942753,-0.03977952813231979,-0.07767191773029275,0.11956667891170686,0.1480405437
meta-llama--Llama-3.1-8B-Instruct,exps_numerical,1,1,0.1,0.0,0.0,0.0,0.0,0.0
meta-llama--Llama-3.1-8B-Instruct,exps_numerical,2,1,0.1,0.0,0.0,0.0,0.0,0.0
meta-llama--Llama-3.1-8B-Instruct,exps_numerical,2,2,0.1,0.0,0.0,0.39999999999999997,-0.4,0.5656854249
meta-llama--Llama-3.1-8B-Instruct,exps_numerical,3,1,0.1,0.0,0.0,0.0,0.0,0.0
meta-llama--Llama-3.1-8B-Instruct,exps_numerical,3,2,0.1,0.0,0.0,0.2833333333333333,-0.2833333333333333,0.4006938427
meta-llama--Llama-3.1-8B-Instruct,exps_numerical,3,3,0.1,0.0,0.0,0.0,0.0,0.0
meta-llama--Llama-3.1-8B-Instruct,exps_some,1,some,0.1,0.0,0.0,0.0,0.0,0.0
meta-llama--Llama-3.1-8B-Instruct,exps_some,2,some,0.1,0.0,0.0,0.08333333333333333,-0.08333333333333337,0.1178511302
meta-llama--Llama-3.1-8B-Instruct,exps_some,3,some,0.1,0.0,0.0,0.0,0.0,0.0
meta-llama--Llama-3.2-1B-Instruct,exps_numerical,1,1,0.1,0.16521455382534303,-0.09730828059253888,-0.06708028392529095,-0.0008259893075133473,0.2031383691
meta-llama--Llama-3.2-1B-Instruct,exps_numerical,2,1,0.1,0.1021972525556139,-0.2259406209303811,0.0015228602469460062,0.12222050812782116,0.2764662987
meta-llama--Llama-3.2-1B-Instruct,exps_numerical,2,2,0.1,-0.040505322702194035,0.24766663267509553,-0.08044024137779388,-0.1267210685951077,0.2924180291
meta-llama--Llama-3.2-1B-Instruct,exps_numerical,3,1,0.1,0.04655829456710753,-0.3395394185768738,0.17309852711762191,0.1198825968921443,0.4022308152
meta-llama--Llama-3.2-1B-Instruct,exps_numerical,3,2,0.1,-0.033333333333333326,0.2495768148031856,-0.3327690864042474,0.1165256049343952,0.43325879
meta-llama--Llama-3.2-1B-Instruct,exps_numerical,3,3,0.1,-0.1663659046751843,0.23280699984823916,0.15520466656549278,-0.2216457617385477,0.3938172744
meta-llama--Llama-3.2-1B-Instruct,exps_some,1,some,0.1,0.2453352670268616,-0.13254613868170534,-0.0880404651728302,-0.024748663172325935,0.2934646349
meta-llama--Llama-3.2-1B-Instruct,exps_some,2,some,0.1,0.29729905478665253,-0.1645944531261968,-0.11600396401201049,-0.016700637648445177,0.3594633402
meta-llama--Llama-3.2-1B-Instruct,exps_some,3,some,0.1,0.3231392900291229,-0.21739682188900594,-0.1449312145926707,0.039188746452553755,0.4173981238
meta-llama--Llama-3.2-3B-Instruct,exps_numerical,1,1,0.1,0.0,0.35000000000000003,0.32499999999999996,-0.675,0.8268917704
meta-llama--Llama-3.2-3B-Instruct,exps_numerical,2,1,0.1,0.0,0.4166666666666667,0.25833333333333336,-0.675,0.8342494964
meta-llama--Llama-3.2-3B-Instruct,exps_numerical,2,2,0.1,0.0,0.0,0.26666666666666666,-0.2666666666666666,0.3771236166
meta-llama--Llama-3.2-3B-Instruct,exps_numerical,3,1,0.1,0.0,0.3666666666666667,0.15,-0.5166666666666666,0.6510674995
meta-llama--Llama-3.2-3B-Instruct,exps_numerical,3,2,0.1,0.0,0.0,0.3,-0.29999999999999993,0.4242640687
meta-llama--Llama-3.2-3B-Instruct,exps_numerical,3,3,0.1,0.0,0.0,0.0,0.0,0.0
meta-llama--Llama-3.2-3B-Instruct,exps_some,1,some,0.1,0.0,0.21666666666666665,0.30833333333333335,-0.5250000000000001,0.6462498657
meta-llama--Llama-3.2-3B-Instruct,exps_some,2,some,0.1,0.0,0.08333333333333333,0.075,-0.15833333333333333,0.1940074454
meta-llama--Llama-3.2-3B-Instruct,exps_some,3,some,0.1,0.0,0.08333333333333333,0.041666666666666664,-0.125,0.1559023911
microsoft--Phi-4-mini-instruct,exps_numerical,1,1,0.1,0.0004946212509718967,-0.18273835705074595,-0.012386246166812942,0.194629981966587,0.2672598001
microsoft--Phi-4-mini-instruct,exps_numerical,2,1,0.1,-0.007835749611822394,-0.3847246756356607,0.1415432969820259,0.2510171282654572,0.4807479367
microsoft--Phi-4-mini-instruct,exps_numerical,2,2,0.1,-0.037071308096925736,-0.016461890649722533,0.13712502406556204,-0.0835918253189139,0.1656385861
microsoft--Phi-4-mini-instruct,exps_numerical,3,1,0.1,-0.019926253129414272,-0.6773009401879874,0.19559885989315456,0.5016283334242472,0.865461448
microsoft--Phi-4-mini-instruct,exps_numerical,3,2,0.1,-0.0329786886049992,-0.00822004902567175,-0.06273798241034167,0.10393672004101266,0.1260716436
microsoft--Phi-4-mini-instruct,exps_numerical,3,3,0.1,-0.06968788506424758,-0.06374988737039947,0.29719457209132505,-0.163756799656678,0.3522234413
microsoft--Phi-4-mini-instruct,exps_some,1,some,0.1,0.0348975704591998,0.14600571954738412,-0.10340971532444287,-0.07749357468214108,0.198076586
microsoft--Phi-4-mini-instruct,exps_some,2,some,0.1,0.036839917878426144,0.020403464703176,-0.048560111330543665,-0.008683271251058361,0.0648611173
microsoft--Phi-4-mini-instruct,exps_some,3,some,0.1,0.038709620441742594,0.05320578114925051,-0.11970011469751607,0.02778471310652303,0.1393893741
