model_id,experiment,state,mean_residual_bets_minus_rsa,n_cells
meta-llama--Llama-3.2-3B-Instruct,exps_numerical,2,0.21666667,6
meta-llama--Llama-3.2-3B-Instruct,exps_numerical,3,-0.40555556,6
meta-llama--Llama-3.2-3B-Instruct,exps_some,0,0.0,3
meta-llama--Llama-3.2-3B-Instruct,exps_some,1,0.12777778,3
meta-llama--Llama-3.2-3B-Instruct,exps_some,2,0.14166667,3
meta-llama--Llama-3.2-3B-Instruct,exps_some,3,-0.26944444,3
microsoft--Phi-4-mini-instruct,exps_numerical,0,-0.02783421,6
microsoft--Phi-4-mini-instruct,exps_numerical,1,-0.2221993,6
microsoft--Phi-4-mini-instruct,exps_numerical,2,0.11605625,6
microsoft--Phi-4-mini-instruct,exps_numerical,3,0.13397726,6
microsoft--Phi-4-mini-instruct,exps_some,0,0.0368157,3
microsoft--Phi-4-mini-instruct,exps_some,1,0.07320499,3
microsoft--Phi-4-mini-instruct,exps_some,2,-0.09055665,3
microsoft--Phi-4-mini-instruct,exps_some,3,-0.01946404,3
