model_id,experiment,inference_method,source,access,utterance,state,prob_0_1,bet_0_100,alpha_hat
Qwen--Qwen3.5-0.8B,exps_numerical,structured_output_agg,llm_bets,2,2,0,0.08333333333333333,8.333333,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,structured_output_agg,llm_bets,2,2,1,0.08333333333333333,8.333333,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,structured_output_agg,llm_bets,2,2,2,0.08333333333333333,8.333333,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,structured_output_agg,llm_bets,2,2,3,0.75,75.0,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,rsa_fit,rsa_predicted,2,2,0,0.0,0.0,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,rsa_fit,rsa_predicted,2,2,1,0.0,0.0,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,rsa_fit,rsa_predicted,2,2,2,0.0,0.0,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,rsa_fit,rsa_predicted,2,2,3,1.0,100.0,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,2,2,0,0.1019535615319075,10.195356,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,2,2,1,0.27783045884403346,27.783046,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,2,2,2,0.37141353879219235,37.141354,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,2,2,3,0.24880244083186687,24.880244,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,structured_output_agg,llm_bets,3,1,0,0.125,12.5,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,structured_output_agg,llm_bets,3,1,1,0.125,12.5,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,structured_output_agg,llm_bets,3,1,2,0.125,12.5,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,structured_output_agg,llm_bets,3,1,3,0.625,62.5,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,rsa_fit,rsa_predicted,3,1,0,0.0,0.0,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,rsa_fit,rsa_predicted,3,1,1,0.0,0.0,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,rsa_fit,rsa_predicted,3,1,2,0.0,0.0,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,rsa_fit,rsa_predicted,3,1,3,1.0,100.0,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,3,1,0,0.14510599640258728,14.5106,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,3,1,1,0.37020338221275617,37.020338,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,3,1,2,0.18985338453521847,18.985338,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,3,1,3,0.294837236849438,29.483724,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,structured_output_agg,llm_bets,3,2,0,0.041666666666666664,4.166667,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,structured_output_agg,llm_bets,3,2,1,0.041666666666666664,4.166667,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,structured_output_agg,llm_bets,3,2,2,0.041666666666666664,4.166667,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,structured_output_agg,llm_bets,3,2,3,0.875,87.5,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,rsa_fit,rsa_predicted,3,2,0,0.0,0.0,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,rsa_fit,rsa_predicted,3,2,1,0.0,0.0,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,rsa_fit,rsa_predicted,3,2,2,0.0,0.0,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,rsa_fit,rsa_predicted,3,2,3,1.0,100.0,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,3,2,0,0.10860718516865882,10.860719,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,3,2,1,0.2634507795966084,26.345078,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,3,2,2,0.34993308537933326,34.993309,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,3,2,3,0.27800894985539953,27.800895,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,structured_output_agg,llm_bets,3,3,0,0.0,0.0,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,structured_output_agg,llm_bets,3,3,1,0.0,0.0,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,structured_output_agg,llm_bets,3,3,2,0.0,0.0,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,structured_output_agg,llm_bets,3,3,3,1.0,100.0,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,rsa_fit,rsa_predicted,3,3,0,0.0,0.0,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,rsa_fit,rsa_predicted,3,3,1,0.0,0.0,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,rsa_fit,rsa_predicted,3,3,2,0.0,0.0,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,rsa_fit,rsa_predicted,3,3,3,1.0,100.0,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,3,3,0,0.14446639244846265,14.446639,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,3,3,1,0.2501588066055155,25.015881,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,3,3,2,0.18867093079034417,18.867093,0.1
Qwen--Qwen3.5-0.8B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,3,3,3,0.4167038701556776,41.670387,0.1
Qwen--Qwen3.5-0.8B,exps_some,structured_output_agg,llm_bets,1,some,0,0.2,20.0,0.1
Qwen--Qwen3.5-0.8B,exps_some,structured_output_agg,llm_bets,1,some,1,0.2,20.0,0.1
Qwen--Qwen3.5-0.8B,exps_some,structured_output_agg,llm_bets,1,some,2,0.2,20.0,0.1
Qwen--Qwen3.5-0.8B,exps_some,structured_output_agg,llm_bets,1,some,3,0.4,40.0,0.1
Qwen--Qwen3.5-0.8B,exps_some,rsa_fit,rsa_predicted,1,some,0,0.0,0.0,0.1
Qwen--Qwen3.5-0.8B,exps_some,rsa_fit,rsa_predicted,1,some,1,0.0,0.0,0.1
Qwen--Qwen3.5-0.8B,exps_some,rsa_fit,rsa_predicted,1,some,2,0.0,0.0,0.1
Qwen--Qwen3.5-0.8B,exps_some,rsa_fit,rsa_predicted,1,some,3,1.0,100.0,0.1
Qwen--Qwen3.5-0.8B,exps_some,ftp_logprobs_agg,logprobs_posterior,1,some,0,0.13880653504639365,13.880654,0.1
Qwen--Qwen3.5-0.8B,exps_some,ftp_logprobs_agg,logprobs_posterior,1,some,1,0.368640419358695,36.864042,0.1
Qwen--Qwen3.5-0.8B,exps_some,ftp_logprobs_agg,logprobs_posterior,1,some,2,0.23474897028150676,23.474897,0.1
Qwen--Qwen3.5-0.8B,exps_some,ftp_logprobs_agg,logprobs_posterior,1,some,3,0.25780407531340466,25.780408,0.1
Qwen--Qwen3.5-0.8B,exps_some,structured_output_agg,llm_bets,2,some,0,0.16666666666666666,16.666667,0.1
Qwen--Qwen3.5-0.8B,exps_some,structured_output_agg,llm_bets,2,some,1,0.16666666666666666,16.666667,0.1
Qwen--Qwen3.5-0.8B,exps_some,structured_output_agg,llm_bets,2,some,2,0.16666666666666666,16.666667,0.1
Qwen--Qwen3.5-0.8B,exps_some,structured_output_agg,llm_bets,2,some,3,0.5,50.0,0.1
Qwen--Qwen3.5-0.8B,exps_some,rsa_fit,rsa_predicted,2,some,0,0.0,0.0,0.1
Qwen--Qwen3.5-0.8B,exps_some,rsa_fit,rsa_predicted,2,some,1,0.0,0.0,0.1
Qwen--Qwen3.5-0.8B,exps_some,rsa_fit,rsa_predicted,2,some,2,0.0,0.0,0.1
Qwen--Qwen3.5-0.8B,exps_some,rsa_fit,rsa_predicted,2,some,3,1.0,100.0,0.1
Qwen--Qwen3.5-0.8B,exps_some,ftp_logprobs_agg,logprobs_posterior,2,some,0,0.11213373430723357,11.213373,0.1
Qwen--Qwen3.5-0.8B,exps_some,ftp_logprobs_agg,logprobs_posterior,2,some,1,0.2993253609941546,29.932536,0.1
Qwen--Qwen3.5-0.8B,exps_some,ftp_logprobs_agg,logprobs_posterior,2,some,2,0.32202893472206356,32.202893,0.1
Qwen--Qwen3.5-0.8B,exps_some,ftp_logprobs_agg,logprobs_posterior,2,some,3,0.2665119699765484,26.651197,0.1
Qwen--Qwen3.5-0.8B,exps_some,structured_output_agg,llm_bets,3,some,0,0.08333333333333333,8.333333,0.1
Qwen--Qwen3.5-0.8B,exps_some,structured_output_agg,llm_bets,3,some,1,0.08333333333333333,8.333333,0.1
Qwen--Qwen3.5-0.8B,exps_some,structured_output_agg,llm_bets,3,some,2,0.08333333333333333,8.333333,0.1
Qwen--Qwen3.5-0.8B,exps_some,structured_output_agg,llm_bets,3,some,3,0.75,75.0,0.1
Qwen--Qwen3.5-0.8B,exps_some,rsa_fit,rsa_predicted,3,some,0,0.0,0.0,0.1
Qwen--Qwen3.5-0.8B,exps_some,rsa_fit,rsa_predicted,3,some,1,0.0,0.0,0.1
Qwen--Qwen3.5-0.8B,exps_some,rsa_fit,rsa_predicted,3,some,2,0.0,0.0,0.1
Qwen--Qwen3.5-0.8B,exps_some,rsa_fit,rsa_predicted,3,some,3,1.0,100.0,0.1
Qwen--Qwen3.5-0.8B,exps_some,ftp_logprobs_agg,logprobs_posterior,3,some,0,0.14532303902239066,14.532304,0.1
Qwen--Qwen3.5-0.8B,exps_some,ftp_logprobs_agg,logprobs_posterior,3,some,1,0.2848260488189161,28.482605,0.1
Qwen--Qwen3.5-0.8B,exps_some,ftp_logprobs_agg,logprobs_posterior,3,some,2,0.2068946953506392,20.68947,0.1
Qwen--Qwen3.5-0.8B,exps_some,ftp_logprobs_agg,logprobs_posterior,3,some,3,0.36295621680805407,36.295622,0.1
Qwen--Qwen3.5-2B,exps_numerical,structured_output_agg,llm_bets,1,1,0,0.0,0.0,1.5
Qwen--Qwen3.5-2B,exps_numerical,structured_output_agg,llm_bets,1,1,1,1.0,100.0,1.5
Qwen--Qwen3.5-2B,exps_numerical,structured_output_agg,llm_bets,1,1,2,0.0,0.0,1.5
Qwen--Qwen3.5-2B,exps_numerical,structured_output_agg,llm_bets,1,1,3,0.0,0.0,1.5
Qwen--Qwen3.5-2B,exps_numerical,rsa_fit,rsa_predicted,1,1,0,0.011363636363636364,1.136364,1.5
Qwen--Qwen3.5-2B,exps_numerical,rsa_fit,rsa_predicted,1,1,1,0.39204545454545453,39.204545,1.5
Qwen--Qwen3.5-2B,exps_numerical,rsa_fit,rsa_predicted,1,1,2,0.05113636363636363,5.113636,1.5
Qwen--Qwen3.5-2B,exps_numerical,rsa_fit,rsa_predicted,1,1,3,0.5454545454545454,54.545455,1.5
Qwen--Qwen3.5-2B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,1,1,0,0.16236998033505165,16.236998,1.5
Qwen--Qwen3.5-2B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,1,1,1,0.39936432050402365,39.936432,1.5
Qwen--Qwen3.5-2B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,1,1,2,0.3585783589909552,35.857836,1.5
Qwen--Qwen3.5-2B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,1,1,3,0.0796873401699696,7.968734,1.5
Qwen--Qwen3.5-2B,exps_numerical,structured_output_agg,llm_bets,2,1,0,0.0,0.0,0.1
Qwen--Qwen3.5-2B,exps_numerical,structured_output_agg,llm_bets,2,1,1,0.5833333333333334,58.333333,0.1
Qwen--Qwen3.5-2B,exps_numerical,structured_output_agg,llm_bets,2,1,2,0.041666666666666664,4.166667,0.1
Qwen--Qwen3.5-2B,exps_numerical,structured_output_agg,llm_bets,2,1,3,0.375,37.5,0.1
Qwen--Qwen3.5-2B,exps_numerical,rsa_fit,rsa_predicted,2,1,0,0.02744727234557438,2.744727,0.1
Qwen--Qwen3.5-2B,exps_numerical,rsa_fit,rsa_predicted,2,1,1,0.836945214004837,83.694521,0.1
Qwen--Qwen3.5-2B,exps_numerical,rsa_fit,rsa_predicted,2,1,2,0.06179530582941269,6.179531,0.1
Qwen--Qwen3.5-2B,exps_numerical,rsa_fit,rsa_predicted,2,1,3,0.07381220782017595,7.381221,0.1
Qwen--Qwen3.5-2B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,2,1,0,0.14033835654192314,14.033836,0.1
Qwen--Qwen3.5-2B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,2,1,1,0.3922558518841009,39.225585,0.1
Qwen--Qwen3.5-2B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,2,1,2,0.4073467485672258,40.734675,0.1
Qwen--Qwen3.5-2B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,2,1,3,0.06005904300675006,6.005904,0.1
Qwen--Qwen3.5-2B,exps_numerical,structured_output_agg,llm_bets,2,2,0,0.0,0.0,0.1
Qwen--Qwen3.5-2B,exps_numerical,structured_output_agg,llm_bets,2,2,1,0.0,0.0,0.1
Qwen--Qwen3.5-2B,exps_numerical,structured_output_agg,llm_bets,2,2,2,0.6666666666666666,66.666667,0.1
Qwen--Qwen3.5-2B,exps_numerical,structured_output_agg,llm_bets,2,2,3,0.3333333333333333,33.333333,0.1
Qwen--Qwen3.5-2B,exps_numerical,rsa_fit,rsa_predicted,2,2,0,0.02095304671657061,2.095305,0.1
Qwen--Qwen3.5-2B,exps_numerical,rsa_fit,rsa_predicted,2,2,1,0.04198113208401199,4.198113,0.1
Qwen--Qwen3.5-2B,exps_numerical,rsa_fit,rsa_predicted,2,2,2,0.04401497667359013,4.401498,0.1
Qwen--Qwen3.5-2B,exps_numerical,rsa_fit,rsa_predicted,2,2,3,0.8930508445258272,89.305084,0.1
Qwen--Qwen3.5-2B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,2,2,0,0.10534196155464648,10.534196,0.1
Qwen--Qwen3.5-2B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,2,2,1,0.18603089231217917,18.603089,0.1
Qwen--Qwen3.5-2B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,2,2,2,0.6246338956850087,62.46339,0.1
Qwen--Qwen3.5-2B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,2,2,3,0.0839932504481656,8.399325,0.1
Qwen--Qwen3.5-2B,exps_numerical,structured_output_agg,llm_bets,3,1,0,0.0,0.0,1.4
Qwen--Qwen3.5-2B,exps_numerical,structured_output_agg,llm_bets,3,1,1,1.0,100.0,1.4
Qwen--Qwen3.5-2B,exps_numerical,structured_output_agg,llm_bets,3,1,2,0.0,0.0,1.4
Qwen--Qwen3.5-2B,exps_numerical,structured_output_agg,llm_bets,3,1,3,0.0,0.0,1.4
Qwen--Qwen3.5-2B,exps_numerical,rsa_fit,rsa_predicted,3,1,0,0.02816901408450704,2.816901,1.4
Qwen--Qwen3.5-2B,exps_numerical,rsa_fit,rsa_predicted,3,1,1,0.9718309859154929,97.183099,1.4
Qwen--Qwen3.5-2B,exps_numerical,rsa_fit,rsa_predicted,3,1,2,2.0090195397394478e-18,0.0,1.4
Qwen--Qwen3.5-2B,exps_numerical,rsa_fit,rsa_predicted,3,1,3,2.1429541757220777e-17,0.0,1.4
Qwen--Qwen3.5-2B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,3,1,0,0.16423087025813293,16.423087,1.4
Qwen--Qwen3.5-2B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,3,1,1,0.49685102429439665,49.685102,1.4
Qwen--Qwen3.5-2B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,3,1,2,0.2296368697153155,22.963687,1.4
Qwen--Qwen3.5-2B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,3,1,3,0.10928123573215497,10.928124,1.4
Qwen--Qwen3.5-2B,exps_numerical,structured_output_agg,llm_bets,3,2,0,0.0,0.0,0.1
Qwen--Qwen3.5-2B,exps_numerical,structured_output_agg,llm_bets,3,2,1,0.0,0.0,0.1
Qwen--Qwen3.5-2B,exps_numerical,structured_output_agg,llm_bets,3,2,2,0.5833333333333334,58.333333,0.1
Qwen--Qwen3.5-2B,exps_numerical,structured_output_agg,llm_bets,3,2,3,0.4166666666666667,41.666667,0.1
Qwen--Qwen3.5-2B,exps_numerical,rsa_fit,rsa_predicted,3,2,0,0.10397287143945917,10.397287,0.1
Qwen--Qwen3.5-2B,exps_numerical,rsa_fit,rsa_predicted,3,2,1,0.2009679951613962,20.0968,0.1
Qwen--Qwen3.5-2B,exps_numerical,rsa_fit,rsa_predicted,3,2,2,0.41545148795720194,41.545149,0.1
Qwen--Qwen3.5-2B,exps_numerical,rsa_fit,rsa_predicted,3,2,3,0.27960764544194255,27.960765,0.1
Qwen--Qwen3.5-2B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,3,2,0,0.08323762982737049,8.323763,0.1
Qwen--Qwen3.5-2B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,3,2,1,0.1607600550795195,16.076006,0.1
Qwen--Qwen3.5-2B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,3,2,2,0.6921996850858524,69.219969,0.1
Qwen--Qwen3.5-2B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,3,2,3,0.06380263000725782,6.380263,0.1
Qwen--Qwen3.5-2B,exps_numerical,structured_output_agg,llm_bets,3,3,0,0.0,0.0,1.4
Qwen--Qwen3.5-2B,exps_numerical,structured_output_agg,llm_bets,3,3,1,0.0,0.0,1.4
Qwen--Qwen3.5-2B,exps_numerical,structured_output_agg,llm_bets,3,3,2,0.0,0.0,1.4
Qwen--Qwen3.5-2B,exps_numerical,structured_output_agg,llm_bets,3,3,3,1.0,100.0,1.4
Qwen--Qwen3.5-2B,exps_numerical,rsa_fit,rsa_predicted,3,3,0,0.02040816326530612,2.040816,1.4
Qwen--Qwen3.5-2B,exps_numerical,rsa_fit,rsa_predicted,3,3,1,1.1158941865287478e-17,0.0,1.4
Qwen--Qwen3.5-2B,exps_numerical,rsa_fit,rsa_predicted,3,3,2,1.455514156341845e-18,0.0,1.4
Qwen--Qwen3.5-2B,exps_numerical,rsa_fit,rsa_predicted,3,3,3,0.979591836734694,97.959184,1.4
Qwen--Qwen3.5-2B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,3,3,0,0.14612932247875576,14.612932,1.4
Qwen--Qwen3.5-2B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,3,3,1,0.19840766107207478,19.840766,1.4
Qwen--Qwen3.5-2B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,3,3,2,0.2817786924812397,28.177869,1.4
Qwen--Qwen3.5-2B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,3,3,3,0.3736843239679298,37.368432,1.4
Qwen--Qwen3.5-2B,exps_some,structured_output_agg,llm_bets,1,some,0,0.0,0.0,2.2
Qwen--Qwen3.5-2B,exps_some,structured_output_agg,llm_bets,1,some,1,0.16666666666666666,16.666667,2.2
Qwen--Qwen3.5-2B,exps_some,structured_output_agg,llm_bets,1,some,2,0.08333333333333333,8.333333,2.2
Qwen--Qwen3.5-2B,exps_some,structured_output_agg,llm_bets,1,some,3,0.75,75.0,2.2
Qwen--Qwen3.5-2B,exps_some,rsa_fit,rsa_predicted,1,some,0,3.8205346250213224e-28,0.0,2.2
Qwen--Qwen3.5-2B,exps_some,rsa_fit,rsa_predicted,1,some,1,0.1673480994129309,16.73481,2.2
Qwen--Qwen3.5-2B,exps_some,rsa_fit,rsa_predicted,1,some,2,0.06491197373077824,6.491197,2.2
Qwen--Qwen3.5-2B,exps_some,rsa_fit,rsa_predicted,1,some,3,0.7677399268562909,76.773993,2.2
Qwen--Qwen3.5-2B,exps_some,ftp_logprobs_agg,logprobs_posterior,1,some,0,0.1415347106714843,14.153471,2.2
Qwen--Qwen3.5-2B,exps_some,ftp_logprobs_agg,logprobs_posterior,1,some,1,0.3125743887297499,31.257439,2.2
Qwen--Qwen3.5-2B,exps_some,ftp_logprobs_agg,logprobs_posterior,1,some,2,0.4412481748507226,44.124817,2.2
Qwen--Qwen3.5-2B,exps_some,ftp_logprobs_agg,logprobs_posterior,1,some,3,0.10464272574804313,10.464273,2.2
Qwen--Qwen3.5-2B,exps_some,structured_output_agg,llm_bets,2,some,0,0.0,0.0,0.2
Qwen--Qwen3.5-2B,exps_some,structured_output_agg,llm_bets,2,some,1,0.0,0.0,0.2
Qwen--Qwen3.5-2B,exps_some,structured_output_agg,llm_bets,2,some,2,0.3,30.0,0.2
Qwen--Qwen3.5-2B,exps_some,structured_output_agg,llm_bets,2,some,3,0.7,70.0,0.2
Qwen--Qwen3.5-2B,exps_some,rsa_fit,rsa_predicted,2,some,0,0.0002641526025791651,0.026415,0.2
Qwen--Qwen3.5-2B,exps_some,rsa_fit,rsa_predicted,2,some,1,0.41022892298534136,41.022892,0.2
Qwen--Qwen3.5-2B,exps_some,rsa_fit,rsa_predicted,2,some,2,0.05552631969594491,5.552632,0.2
Qwen--Qwen3.5-2B,exps_some,rsa_fit,rsa_predicted,2,some,3,0.5339806047161346,53.39806,0.2
Qwen--Qwen3.5-2B,exps_some,ftp_logprobs_agg,logprobs_posterior,2,some,0,0.1272172798359755,12.721728,0.2
Qwen--Qwen3.5-2B,exps_some,ftp_logprobs_agg,logprobs_posterior,2,some,1,0.25590825587445776,25.590826,0.2
Qwen--Qwen3.5-2B,exps_some,ftp_logprobs_agg,logprobs_posterior,2,some,2,0.5220402836768979,52.204028,0.2
Qwen--Qwen3.5-2B,exps_some,ftp_logprobs_agg,logprobs_posterior,2,some,3,0.09483418061266896,9.483418,0.2
Qwen--Qwen3.5-2B,exps_some,structured_output_agg,llm_bets,3,some,0,0.0,0.0,0.1
Qwen--Qwen3.5-2B,exps_some,structured_output_agg,llm_bets,3,some,1,0.06,6.0,0.1
Qwen--Qwen3.5-2B,exps_some,structured_output_agg,llm_bets,3,some,2,0.06,6.0,0.1
Qwen--Qwen3.5-2B,exps_some,structured_output_agg,llm_bets,3,some,3,0.8800000000000001,88.0,0.1
Qwen--Qwen3.5-2B,exps_some,rsa_fit,rsa_predicted,3,some,0,0.002894686327071197,0.289469,0.1
Qwen--Qwen3.5-2B,exps_some,rsa_fit,rsa_predicted,3,some,1,0.5275933952198215,52.75934,0.1
Qwen--Qwen3.5-2B,exps_some,rsa_fit,rsa_predicted,3,some,2,0.06881652981128106,6.881653,0.1
Qwen--Qwen3.5-2B,exps_some,rsa_fit,rsa_predicted,3,some,3,0.40069538864182636,40.069539,0.1
Qwen--Qwen3.5-2B,exps_some,ftp_logprobs_agg,logprobs_posterior,3,some,0,0.13770743808967065,13.770744,0.1
Qwen--Qwen3.5-2B,exps_some,ftp_logprobs_agg,logprobs_posterior,3,some,1,0.29447872445116163,29.447872,0.1
Qwen--Qwen3.5-2B,exps_some,ftp_logprobs_agg,logprobs_posterior,3,some,2,0.40890399140150363,40.890399,0.1
Qwen--Qwen3.5-2B,exps_some,ftp_logprobs_agg,logprobs_posterior,3,some,3,0.15890984605766423,15.890985,0.1
Qwen--Qwen3.5-4B,exps_numerical,structured_output_agg,llm_bets,1,1,0,0.0,0.0,1.4
Qwen--Qwen3.5-4B,exps_numerical,structured_output_agg,llm_bets,1,1,1,0.0,0.0,1.4
Qwen--Qwen3.5-4B,exps_numerical,structured_output_agg,llm_bets,1,1,2,0.3333333333333333,33.333333,1.4
Qwen--Qwen3.5-4B,exps_numerical,structured_output_agg,llm_bets,1,1,3,0.6666666666666666,66.666667,1.4
Qwen--Qwen3.5-4B,exps_numerical,rsa_fit,rsa_predicted,1,1,0,0.0,0.0,1.4
Qwen--Qwen3.5-4B,exps_numerical,rsa_fit,rsa_predicted,1,1,1,0.0,0.0,1.4
Qwen--Qwen3.5-4B,exps_numerical,rsa_fit,rsa_predicted,1,1,2,0.08333333333333333,8.333333,1.4
Qwen--Qwen3.5-4B,exps_numerical,rsa_fit,rsa_predicted,1,1,3,0.9166666666666666,91.666667,1.4
Qwen--Qwen3.5-4B,exps_numerical,ftp_logprobs_agg,logprobs_posterior,1,1,0,0.020932585217269904,2.093259,1.4
